Mention;Class
Brexit;EVENT
United Kingdom (UK);LOCATION
European Union (EU);INSTITUTION
June 2016 referendum;EVENT
52%;MEASURE
EU;INSTITUTION
UK;LOCATION
European Union;INSTITUTION
Article 50 of the Treaty On European Union of EU member states;LEGAL
since 2007;PERIOD
UK;LOCATION
UE law – Article 50;LEGAL
two years;PERIOD
Britain;LOCATION
June 2016;PERIOD
two-year;PERIOD
UK;LOCATION
European Economic Community (EEC);INSTITUTION
EU;INSTITUTION
1973;PERIOD
EEC;INSTITUTION
1975 referendum;EVENT
67%;MEASURE
UK;LOCATION
Treaty of Rome;LEGAL
EEC;INSTITUTION
1957;PERIOD
1963;PERIOD
1967;PERIOD
President of France, Charles de Gaulle;PERSON
Britain;LOCATION
Britain;LOCATION
Europe;LOCATION
Britain;LOCATION
European;NATIONAL
de Gaulle;PERSON
French;NATIONAL
UK;LOCATION
third;MEASURE
Conservative Prime Minister Edward Heath;PERSON
European Communities Act 1972;LEGAL
1 January 1973;PERIOD
United Kingdom;LOCATION
EEC, or ""Common Market;INSTITUTION
Labour Party;ORGANISATION
Harold Wilson;PERSON
October 1974 general election;EVENT
Britain;LOCATION
EEC;INSTITUTION
EEC;INSTITUTION
1975 referendum;EVENT
United Kingdom European Communities membership referendum, 1975;EVENT
1975;PERIOD
United Kingdom;LOCATION
UK;LOCATION
EEC;INSTITUTION
EEC;INSTITUTION
Labour party,;ORGANISATION
2:1;MEASURE
one-day;PERIOD
26 April 1975;PERIOD
European;NATIONAL
European;NATIONAL
Harold Wilson;PERSON
Cabinet collective responsibility;LEGAL
Seven of the twenty-three;MEASURE
EEC;INSTITUTION
5 June 1975;PERIOD
UK;LOCATION
European Community (Common Market);INSTITUTION
UK;LOCATION
Shetland Islands;LOCATION
Outer Hebrides;LOCATION
67%;MEASURE
United Kingdom;LOCATION
EEC;INSTITUTION
United Kingdom European Community (Common Market) Membership Referendum 1975;EVENT
Labour Party;ORGANISATION
1983 general election;EVENT
EEC;INSTITUTION
Conservative;PERSON_TYPE
Margaret Thatcher;PERSON_TYPE
Labour Party;ORGANISATION
Maastricht Treaty;LEGAL
EEC;INSTITUTION
European Union;INSTITUTION
1 November 1993;PERIOD
Referendum Party;ORGANISATION
1994;PERIOD
Sir James Goldsmith;PERSON
1997 general election;EVENT
UK;LOCATION
EU;INSTITUTION
547;MEASURE
810,860;MEASURE
2.6%;MEASURE
Goldsmith;PERSON
505;MEASURE
UK Independence Party (UKIP);ORGANISATION
Eurosceptic;CONCEPTUAL
1993;PERIOD
third;MEASURE
UK;LOCATION
2004 European elections;EVENT
second;MEASURE
2009 European elections;EVENT
first;MEASURE
2014 European elections;EVENT
27.5%;MEASURE
first;MEASURE
1910 general election;EVENT
Labour or Conservative parties;ORGANISATION
2014;PERIOD
UKIP;ORGANISATION
two;MEASURE
Conservative MPs;TITLE
UKIP;ORGANISATION
MPs;TITLE
2015 general election;EVENT
UKIP;ORGANISATION
12.6%;MEASURE
one of the two;MEASURE
2014;PERIOD
Brexit;EVENT
Brexit;EVENT
Brexit;EVENT
Britain;LOCATION
Grexit;CONCEPT
Brexit;EVENT
UK;LOCATION
EU;INSTITUTION
Peter Wilding;PERSON
Euractiv;MEDIA
15 May 2012;PERIOD
2016 referendum;EVENT
United Kingdom European Union membership referendum, 2016;EVENT
United Kingdom European Union membership referendum, 2016;EVENT
United Kingdom European Union membership referendum, 2016;EVENT
Wikipedia;WEBSITE
2012;PERIOD
Prime Minister David Cameron;PERSON
UK;LOCATION
EU;INSTITUTION
BBC;MEDIA
prime minister;TITLE
UK;LOCATION
European Union;INSTITUTION
British;PERSON_TYPE
MPs;TITLE
UKIP;ORGANISATION
January 2013;PERIOD
Cameron;PERSON
Conservative;PERSON_TYPE
EU;INSTITUTION
before the end of 2017;PERIOD
2015;PERIOD
Conservative Party;ORGANISATION
2015 general election;EVENT
European Union Referendum Act 2015;LEGAL
Parliament;INSTITUTION
European Union;INSTITUTION
Cameron;PERSON
Conservative Ministers and MPs;TITLE
EU;INSTITUTION
cabinet collective responsibility;LEGAL
Cameron;PERSON
cabinet ministers;TITLE
EU;INSTITUTION
House of Commons;INSTITUTION
