Mention;Class
Benjamin Arditti;PERSON
Vienna;LOCATION
1897;PERIOD
Sofia;LOCATION
two years;PERIOD
World War II;EVENT
from 1916-1949;PERIOD
Zionist movement in Bulgaria;ORGANISATION
Central Committee of the Zionist Union in Bulgaria;ORGANISATION
1919-1923;PERIOD
five;MEASURE
representative to the World Zionist Congress;TITLE
chairman of the Zionist Organization in Sofia;TITLE
Revisionist movement in Bulgaria;ORGANISATION
chairman;TITLE
from 1925-1935;PERIOD
Arditti;PERSON
Committee for the Rescue of Bulgarian Jewry during World War II;ORGANISATION
Zionist;CONCEPTUAL
aliya to Eretz Israel;CONCEPT
after 1944;PERIOD
Arditti;PERSON
representative of the Revisionists in the Union of Bulgarian Jews;TITLE
1947-1949;PERIOD
aliya to Israel;CONCEPT
Herut party and the Organization of Sephardi Jews in Israel;ORGANISATION
1949;PERIOD
chairman of the Central Committee of the World Sephardi Federation;TITLE
Knesset;INSTITUTION
1930s;PERIOD
Benjamin Arditti;PERSON
Jews of Bulgaria;PERSON_TYPE
two;MEASURE
Israel;LOCATION
Holocaust;EVENT
Jewish;PERSON_TYPE
Zionist movement in Bulgaria;ORGANISATION
Sephardi Jews;PERSON_TYPE
Eretz Israel;LOCATION
Benjamin Arditti;PERSON
1;MEASURE
2;MEASURE
Benjamin Arditti;PERSON
3;MEASURE
Benjamin Arditti;PERSON
4;MEASURE
Benjamin Arditti;PERSON
Knesset;INSTITUTION
Sephardi Jewish;PERSON_TYPE
5;MEASURE
Jews;PERSON_TYPE
Bulgaria;LOCATION
until World War II;PERIOD
Zionism;CONCEPT
Zionist movement in Bulgaria;ORGANISATION
6;MEASURE
Jews of Bulgaria;PERSON_TYPE
World War II;EVENT
Bulgaria;LOCATION
anti-Jewish legislation;LEGAL
anti-Semitic policy;LEGAL
Commissariat for Jewish Affairs;INSTITUTION
Jewish;PERSON_TYPE
Bulgaria;LOCATION
aliya;CONCEPT
Eretz Israel;LOCATION
two;MEASURE
Salvador;CREATION
Struma;CREATION
Holocaust of the Jews of Turkey and Macedonia;EVENT
Bulgaria;LOCATION
Rescue of the Jews of Bulgaria;EVENT
7;MEASURE
aliya;CONCEPT
Bulgaria;LOCATION
Eretz Israel;LOCATION
from the late 19th century until the""Great Aliya"", 1948-1949;PERIOD
Arditti;PERSON
Jews of Bulgaria;PERSON_TYPE
before the 1940s;PERIOD
Zionist movement in Bulgaria;ORGANISATION
Jews of Bulgaria, Turkey and Macedonia;PERSON_TYPE
Holocaust;EVENT
IDEA ALM;ARTIFACT
Yad Vashem Archives;INSTITUTION
Yad Vashem;INSTITUTION
