WikidataID,Class
Q100,LOCATION
Q1000,LOCATION
Q1001,PERSON
Q100172,TITLE
Q1001935,LOCATION
Q1002,LOCATION
Q1004072,CREATION
Q1004302,LOCATION
Q1005,LOCATION
Q1005118,ORGANISATION
Q1005141,ORGANISATION
Q1005416,INSTITUTION
Q1005976,INSTITUTION
Q1006,LOCATION
Q1006536,INSTALLATION
Q1007,LOCATION
Q100749,PERSON
Q1008,LOCATION
Q1009,LOCATION
Q10090,PERSON_TYPE
Q1009235,LOCATION
Q1009458,BUSINESS
Q1009535,PERIOD
Q1010,LOCATION
Q1010199,LOCATION
Q1010263,LOCATION
Q1010514,ORGANISATION
Q1011,LOCATION
Q1012,LOCATION
Q1013,LOCATION
Q10135,ARTIFACT
Q1013528,LOCATION
Q1014,LOCATION
Q1015,LOCATION
Q1016,LOCATION
Q1017,LOCATION
Q10179,CONCEPT
Q1018,LOCATION
Q101828,PERSON_TYPE
Q10188,CONCEPT
Q101886,PERSON
Q1019,LOCATION
Q10195,CONCEPT
Q1019520,ORGANISATION
Q10196,CONCEPT
Q101985,PERSON_TYPE
Q10199,CONCEPT
Q1020,LOCATION
Q10202,CREATION
Q1020589,LOCATION
Q10206,CONCEPT
Q1021,LOCATION
Q1021091,LOCATION
Q1022,LOCATION
Q1022481,LOCATION
Q10225,ORGANISATION
Q102251,PERSON_TYPE
Q10230,ORGANISATION
Q1023185,SPORT_TEAM
Q1023235,SPORT_TEAM
Q1023532,SPORT_TEAM
Q1024,LOCATION
Q1024175,ORGANISATION
Q1025,LOCATION
Q102573,MEASURE
Q1025756,MEASURE
Q1026,PERSON_TYPE
Q1026100,LOCATION
Q1027,LOCATION
Q1028,LOCATION
Q1029,LOCATION
Q103,CREATION
Q1030,LOCATION
Q1030234,CONCEPT
Q1031074,ORGANISATION
Q103163,TITLE
Q1032,LOCATION
Q1032042,ARTIFACT
Q103246,MEASURE
Q103251,LOCATION
Q1033,LOCATION
Q1033140,PERIOD
Q1034,LOCATION
Q1034573,PERIOD
Q1035,PERSON
Q10358220,MEDIA
Q1036,LOCATION
Q1037,LOCATION
Q103748,ORGANISATION
Q10377222,MEDIA
Q10377495,MEDIA
Q1038,SUBSTANCE
Q103801,LOCATION
Q103836,PERSON
Q1040,LOCATION
Q104063,LOCATION
Q104095,LOCATION
Q1041,LOCATION
Q1042,LOCATION
Q104238,PERSON_TYPE
Q1043,PERSON
Q1043096,CONCEPT
Q1043527,ORGANISATION
Q1043543,PERIOD
Q1044,LOCATION
Q104444,PERSON_TYPE
Q1045,LOCATION
Q1045198,ORGANISATION
Q104520,LOCATION
Q1045401,ORGANISATION
Q1046,SUBSTANCE
Q1046088,AWARD
Q1046164,INSTITUTION
Q1046626,LEGAL
Q1046722,ORGANISATION
Q1046939,SPORT_TEAM
Q1047,PERSON
Q104740,LOCATION
Q1048,PERSON
Q104843,ARTIFACT
Q1048662,PERIOD
Q1048696,LOCATION
Q10488275,PERIOD
Q1049,LOCATION
Q1049141,PERIOD
Q105,PERIOD
Q1050,LOCATION
Q105024,PERSON
Q1050254,ORGANISATION
Q1051,PERSON
Q1051067,ARTIFACT
Q105112,ORGANISATION
Q1051405,ARTIFACT
Q1051650,ORGANISATION
Q1051657,ORGANISATION
Q1051665,MEASURE
Q1052379,CONCEPT
Q105269,AWARD
Q105269,AWARD
Q1052781,SPORT_TEAM
Q1053,SUBSTANCE
Q1053299,BUSINESS
Q105338,PERSON
Q1053668,ORGANISATION
Q1053734,INSTITUTION
Q1054,SUBSTANCE
Q105405,PERSON_TYPE
Q105447,AWARD
Q105447,AWARD
Q1054791,PERSON_TYPE
Q1055,LOCATION
Q1056,PERSON
Q1056391,TITLE
Q1058,PERSON
Q105809,AWARD
Q105809,AWARD
Q1058594,ORGANISATION
Q105861,SPORT_TEAM
Q1058645,MEDIA
Q1058686,PERSON_TYPE
Q1059114,PERIOD
Q1059186,SPORT_TEAM
Q1059399,SPORT_TEAM
Q1059415,SPORT_TEAM
Q1059430,SPORT_TEAM
Q1059906,AWARD
Q1059995,PERIOD
Q10601542,BUSINESS
Q106039,PERSON_TYPE
Q1061,LOCATION
Q1061180,MEASURE
Q106145,CONCEPT
Q1061510,PERSON_TYPE
Q1061750,PERIOD
Q1062,LOCATION
Q10624502,TITLE
Q1062471,CONCEPT
Q1063123,CONCEPT
Q1063756,MEASURE
Q106394,SPORT_TEAM
Q1064,PERSON
Q106416,PERSON_TYPE
Q10647,ORGANISATION
Q1065,ORGANISATION
Q10650367,ARTIFACT
Q1065767,AWARD
Q10658,ORGANISATION
Q106599,PERSON_TYPE
Q1066,LOCATION
Q1066224,CONCEPT
Q10664,PERSON
Q106652,LOCATION
Q1067,PERSON
Q1067053,ORGANISATION
Q1067192,LEGAL
Q1067477,LOCATION
Q1068,LOCATION
Q106825,LOCATION
Q106848,LOCATION
Q1068675,CONCEPT
Q1068933,TITLE
Q10691,ORGANISATION
Q1069127,PERSON_TYPE
Q106974,PERSON_TYPE
Q106991,PERSON_TYPE
Q1070,LOCATION
Q1070437,PERIOD
Q1070487,ORGANISATION
Q1070732,SPORT_TEAM
Q10713,CONCEPT
Q1071690,TITLE
Q1071967,BUSINESS
Q1072283,TITLE
Q1072285,TITLE
Q1072298,TITLE
Q1072300,TITLE
Q1072304,TITLE
Q1072318,TITLE
Q1072325,TITLE
Q1072339,TITLE
Q1072357,TITLE
Q1072360,TITLE
Q1072364,TITLE
Q107331,PERSON_TYPE
Q107401,LOCATION
Q1074167,LOCATION
Q1074294,ORGANISATION
Q107434,PERSON_TYPE
Q1074800,ORGANISATION
Q1074954,CONCEPT
Q1075392,ORGANISATION
Q1075457,PERIOD
Q1075486,PERIOD
Q1075781,PERIOD
Q1075786,PERIOD
Q1075994,MEDIA
Q1076869,ORGANISATION
Q1077,CREATION
Q1077366,PERIOD
Q1077442,CONCEPT
Q1077498,PERSON
Q1077777,CREATION
Q1078084,CREATION
Q107822,PERSON_TYPE
Q1079,CREATION
Q1079061,PERSON_TYPE
Q1079231,PERSON
Q108,PERIOD
Q1080448,ARTIFACT
Q108072,LOCATION
Q1081,PERSON
Q108101,LOCATION
Q1081144,PERSON
Q108127,LOCATION
Q108169,ORGANISATION
Q108266,PERSON_TYPE
Q1082670,PERSON_TYPE
Q10829188,INSTITUTION
Q1083,LOCATION
Q1083043,CREATION
Q108478,MEASURE
Q1085,LOCATION
Q1085130,ORGANISATION
Q108515,MEDIA
Q10859350,ORGANISATION
Q10859501,LOCATION
Q1086,SUBSTANCE
Q10861236,ORGANISATION
Q10861396,ORGANISATION
Q1086839,CONCEPT
Q1087,SUBSTANCE
Q108700,ORGANISATION
Q1089,SUBSTANCE
Q109,PERIOD
Q1090,SUBSTANCE
Q10901070,PERIOD
Q109021,LOCATION
Q109026,CREATION
Q1090363,MEDIA
Q109061,PERSON
Q1090661,SPORT_TEAM
Q109073,PERSON_TYPE
Q1091,SUBSTANCE
Q109179,ORGANISATION
Q1092499,INSTITUTION
Q1093,LOCATION
Q1093805,ARTIFACT
Q1094,SUBSTANCE
Q109402,PERSON_TYPE
Q109432,TITLE
